Course ID,Title,Description,Domain,Difficulty Level,Rating,Number of Reviews,Duration (Hours),Instructor,Platform,Skills
CRS-001,Interactive Data Visualization with Tableau,"Transform raw data into beautiful, interactive dashboards and stories using Tableau and storytelling techniques. Topics include: Tableau, SQL.",Data Science & Analytics,Beginner,4.92,835,4.3,Jose Portilla,Udemy,"Tableau, SQL"
CRS-002,Shell Scripting Certified Solutions Architect,"Prepare and pass the official certification. Master core services, security, architecture, and cost optimization on Shell Scripting. Topics include: Shell Scripting, Ansible.",Cloud Computing & DevOps,Advanced,4.89,748,32.5,Richard Chan,Coursera,"Shell Scripting, Ansible"
CRS-003,Build Real-World Projects with Git,"An entirely project-based course where you will build 10+ professional applications using Git and modern tools. Topics include: Git, MongoDB.",Web Development,Beginner,4.19,459,7.9,Maximilian Schwarzmüller,Coursera,"Git, MongoDB"
CRS-004,iOS & Android Development with iOS Development,"Build beautiful, native cross-platform mobile apps for iOS and Android using a single codebase of iOS Development. Topics include: iOS Development, Flutter, Xcode, Mobile UI Design.",Mobile App Development,Intermediate,4.69,6713,24.4,Philipp Lackner,Udemy,"iOS Development, Flutter, Xcode, Mobile UI Design"
CRS-005,SQL & R Programming for Data Analysts,"Master database querying and data wrangling with SQL and R Programming. Solve real-world business analytics problems. Topics include: R Programming, SQL.",Data Science & Analytics,Beginner,3.81,373,8.1,Kirill Eremenko,Coursera,"R Programming, SQL"
CRS-006,DevOps Essentials: Kubernetes & CI/CD Pipelines,"Automate your infrastructure, deployment, and testing lifecycle using Kubernetes and modern pipelines. Topics include: Kubernetes, Azure, Google Cloud, Docker.",Cloud Computing & DevOps,Advanced,4.4,1274,34.6,Nigel Poulton,Pluralsight,"Kubernetes, Azure, Google Cloud, Docker"
CRS-007,HTML for Beginners: Start Coding Today,"Learn the fundamentals of HTML. Perfect for absolute beginners with no prior coding experience. Topics include: HTML, Express.",Web Development,Beginner,4.17,1086,11.2,Maximilian Schwarzmüller,Udemy,"HTML, Express"
CRS-008,Agile & Scrum Master certification: Business Strategy,"Master agile ceremonies, sprint planning, backlog grooming, and team leadership using Scrum and Business Strategy. Topics include: Business Strategy, Scrum, Negotiation, Agile Methodology.",Business & Product Management,Intermediate,4.32,466,15.5,Mary Pratt,Udacity,"Business Strategy, Scrum, Negotiation, Agile Methodology"
CRS-009,Practical Scikit-learn with PyTorch and Scikit-Learn,"Build, train, and deploy powerful Scikit-learn models for classification, regression, and clustering tasks. Topics include: Scikit-learn, Deep Learning, Machine Learning, LLMs.",AI & Machine Learning,Beginner,4.62,5283,11.5,Lazy Programmer,Pluralsight,"Scikit-learn, Deep Learning, Machine Learning, LLMs"
CRS-010,SQL & Data Visualization for Data Analysts,"Master database querying and data wrangling with SQL and Data Visualization. Solve real-world business analytics problems. Topics include: Data Visualization, Tableau, Power BI, Pandas.",Data Science & Analytics,Advanced,4.4,3398,54.3,Daniel Bourke,Coursera,"Data Visualization, Tableau, Power BI, Pandas"
CRS-011,The Ultimate Email Marketing Guide to Page #1,"Rank higher on search engines. Master on-page, off-page, technical optimizations, and keyword research using Email Marketing. Topics include: Email Marketing, Social Media Marketing.",Digital Marketing,Beginner,4.89,990,14.2,Isaac Rudansky,Coursera,"Email Marketing, Social Media Marketing"
CRS-012,Incident Response & Network Security Operations,"Detect, isolate, and mitigate active cybersecurity incidents. Learn digital forensics and blue team tactics for Network Security. Topics include: Network Security, Ethical Hacking.",Cybersecurity,Intermediate,4.85,1246,33.7,Nathan House,Udemy,"Network Security, Ethical Hacking"
CRS-013,Practical Generative AI with PyTorch and Scikit-Learn,"Build, train, and deploy powerful Generative AI models for classification, regression, and clustering tasks. Topics include: Generative AI, LLMs, Computer Vision.",AI & Machine Learning,Beginner,4.79,510,6.7,Sam Witteveen,Coursera,"Generative AI, LLMs, Computer Vision"
CRS-014,Interactive Data Visualization with Python,"Transform raw data into beautiful, interactive dashboards and stories using Python and storytelling techniques. Topics include: Python, Excel, Data Visualization.",Data Science & Analytics,Beginner,3.72,943,13.5,Alex The Analyst,Coursera,"Python, Excel, Data Visualization"
CRS-015,SQL Boot Camp: Go from Zero to Hero,"A comprehensive guide to analyzing data. Learn data frames, wrangling, and basic predictive analytics with SQL. Topics include: SQL, Tableau, Statistics, R Programming.",Data Science & Analytics,Beginner,4.74,13956,5.0,Jose Portilla,Udacity,"SQL, Tableau, Statistics, R Programming"
CRS-016,Become a Product Manager: Leadership and Analytics,"Learn the product lifecycle, market research, user personas, agile delivery, and metrics definition for Leadership. Topics include: Leadership, Negotiation, Project Management.",Business & Product Management,Beginner,4.62,1332,6.1,Cole Mercer,Udemy,"Leadership, Negotiation, Project Management"
CRS-017,Interface Design & Typography with Visual Design,"Elevate your visual design skills. Master grid layouts, color theory, and typographic hierarchy using Visual Design. Topics include: Visual Design, Wireframing.",UI/UX & Product Design,Beginner,3.83,3478,11.2,Zack Onisko,Coursera,"Visual Design, Wireframing"
CRS-018,The Ultimate Google Analytics Guide to Page #1,"Rank higher on search engines. Master on-page, off-page, technical optimizations, and keyword research using Google Analytics. Topics include: Google Analytics, Social Media Marketing.",Digital Marketing,Intermediate,4.46,535,10.1,Robin & Jesper,Pluralsight,"Google Analytics, Social Media Marketing"
CRS-019,Strategic Leadership and Business Strategy for Executives,"Develop decision-making models, corporate strategy, and negotiation skills to lead high-performing teams in Business Strategy contexts. Topics include: Business Strategy, Finance, Project Management.",Business & Product Management,Beginner,3.99,938,4.6,Todd Birzer,Coursera,"Business Strategy, Finance, Project Management"
CRS-020,User Experience Design Essentials: Design Systems,"Learn UX research, user journeys, wireframing, prototyping, and usability testing in Design Systems. Topics include: Design Systems, Wireframing, Figma, User Research.",UI/UX & Product Design,Advanced,4.62,2319,31.1,Muzli Academy,Udemy,"Design Systems, Wireframing, Figma, User Research"
CRS-021,Full-Stack Web Dev with React and CSS,"Become a full-stack engineer. Build robust backends and dynamic frontends using React and CSS. Topics include: CSS, MongoDB, Next.js, TypeScript.",Web Development,Intermediate,4.16,1193,13.3,Brad Traversy,edX,"CSS, MongoDB, Next.js, TypeScript"
CRS-022,Network Defense & Wireshark Analysis,"Learn network traffic analysis, intrusion detection, firewalls, and security operations using Wireshark. Topics include: Wireshark, Penetration Testing, Network Security.",Cybersecurity,Intermediate,3.72,297,32.0,Neal Bridges,Udacity,"Wireshark, Penetration Testing, Network Security"
CRS-023,Advanced System Administration & Kubernetes,"Master Linux command line, shell scripting, automation, and system security with a focus on Kubernetes services. Topics include: Kubernetes, Google Cloud, Linux.",Cloud Computing & DevOps,Advanced,4.86,1445,24.7,Mumshad Mannambeth,Udacity,"Kubernetes, Google Cloud, Linux"
CRS-024,Practical Deep Learning with PyTorch and Scikit-Learn,"Build, train, and deploy powerful Deep Learning models for classification, regression, and clustering tasks. Topics include: Deep Learning, Reinforcement Learning, Generative AI.",AI & Machine Learning,Intermediate,4.66,236,22.6,Andrej Karpathy,edX,"Deep Learning, Reinforcement Learning, Generative AI"
CRS-025,Advanced Penetration Testing & Penetration Testing,"Go deep into red teaming tactics. Conduct advanced assessments, write custom exploits, and bypass security controls using Penetration Testing. Topics include: Penetration Testing, Metasploit.",Cybersecurity,Advanced,4.33,975,39.9,Nathan House,Udemy,"Penetration Testing, Metasploit"
CRS-026,Agile & Scrum Master certification: Product Management,"Master agile ceremonies, sprint planning, backlog grooming, and team leadership using Scrum and Product Management. Topics include: Product Management, Agile Methodology, Negotiation, Startup Strategy.",Business & Product Management,Intermediate,4.27,289,19.1,Mary Pratt,Udemy,"Product Management, Agile Methodology, Negotiation, Startup Strategy"
CRS-027,The Complete React Bootcamp,"Master React from scratch. Learn building modern, responsive, and interactive applications using industry best practices. Topics include: React, Next.js, REST APIs.",Web Development,Beginner,4.69,348,13.7,Maximilian Schwarzmüller,Udacity,"React, Next.js, REST APIs"
CRS-028,Git for Beginners: Start Coding Today,"Learn the fundamentals of Git. Perfect for absolute beginners with no prior coding experience. Topics include: Git, Express.",Web Development,Intermediate,4.14,1718,18.7,Angela Yu,edX,"Git, Express"
CRS-029,Infrastructure as Code using Terraform and AWS,"Provision and manage cloud resources programmatically across multi-cloud setups with Terraform and AWS. Topics include: AWS, Docker.",Cloud Computing & DevOps,Intermediate,3.99,187,27.0,Mumshad Mannambeth,edX,"AWS, Docker"
CRS-030,The Ultimate SEO Guide to Page #1,"Rank higher on search engines. Master on-page, off-page, technical optimizations, and keyword research using SEO. Topics include: SEO, Google Analytics, Content Marketing.",Digital Marketing,Intermediate,3.73,404,20.9,Daragh Walsh,edX,"SEO, Google Analytics, Content Marketing"
CRS-031,Google Analytics 4 & Growth Hacking Data Analysis,"Track user behavior, measure conversions, set up custom dashboards, and make data-driven marketing decisions with Growth Hacking. Topics include: Growth Hacking, Social Media Marketing.",Digital Marketing,Advanced,3.86,4989,53.2,Alex Cattoni,Pluralsight,"Growth Hacking, Social Media Marketing"
CRS-032,Advanced System Administration & Terraform,"Master Linux command line, shell scripting, automation, and system security with a focus on Terraform services. Topics include: Terraform, Azure, CI/CD.",Cloud Computing & DevOps,Intermediate,4.97,695,20.1,Mumshad Mannambeth,Udemy,"Terraform, Azure, CI/CD"
CRS-033,Network Defense & Cryptography Analysis,"Learn network traffic analysis, intrusion detection, firewalls, and security operations using Cryptography. Topics include: Cryptography, Ethical Hacking, Security Fundamentals, Wireshark.",Cybersecurity,Advanced,4.69,308,47.3,Heath Adams,Udacity,"Cryptography, Ethical Hacking, Security Fundamentals, Wireshark"
